ID,Source,Severity,Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Weather_Condition
A-20,Source2,2,Accident on Hillcrest Ave at Piccadilly Ave. Expect delays.,W Hillcrest Ave,Dayton,Montgomery,OH,45406-2640,US,US/Eastern,KDAY,2/8/2016 9:56,36,Mostly Cloudy
A-21,Source2,2,Accident on Brookhill Dr at Glenhurst Ct.,Brookhill Dr,Columbus,Franklin,OH,43230-1765,US,US/Eastern,KCMH,2/8/2016 10:14,33.8,Light Snow
A-22,Source2,2,Accident on Princeton Dr at Catalpa Dr. Expect delays.,Princeton Dr,Dayton,Montgomery,OH,45406-4736,US,US/Eastern,KDAY,2/8/2016 9:56,36,Mostly Cloudy
A-23,Source2,2,Accident on OH-741 Springboro Pike at Lyons Rd. Expect delays.,Springboro Pike,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,2/8/2016 11:53,35.1,Overcast
A-24,Source2,3,Accident on I-71 Northbound at Exit 113 Silver Dr. On exit ramp.,North Fwy S,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,2/8/2016 11:51,37,Overcast
A-25,Source2,2,Accident on Hoover Ave at Elmhurst Rd.,Hoover Ave,Dayton,Montgomery,OH,45417-1117,US,US/Eastern,KDAY,2/8/2016 12:20,37.9,Overcast
A-26,Source2,2,Accident on County Hwy-16 Sportsman Club Rd between Liberty Ridge Ct and Nichols Ln.,Sportsman Club Rd,Johnstown,Licking,OH,43031-9133,US,US/Eastern,KCMH,2/8/2016 12:51,37.9,Light Snow
A-27,Source2,2,Accident on Irving Ave at Wilmington Ave.,Irving Ave,Dayton,Montgomery,OH,45419-4148,US,US/Eastern,KMGY,2/8/2016 12:53,36,Light Snow
A-28,Source2,2,Accident on Helena St at OH-48 Main St.,W Helena St,Dayton,Montgomery,OH,45405-4326,US,US/Eastern,KDAY,2/8/2016 13:56,39.9,Mostly Cloudy
A-29,Source2,2,Accident on Salem Ave at Litchfield Ave.,Litchfield Ave,Dayton,Montgomery,OH,45406-2701,US,US/Eastern,KDAY,2/8/2016 14:56,39.9,Mostly Cloudy
A-30,Source2,2,Accident on 4th St at Wayne Ave.,E 4th St,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2/8/2016 15:46,39.2,Mostly Cloudy
A-31,Source2,2,Accident on Frantz Rd Southbound at Bradenton Ave.,Frantz Rd,Dublin,Franklin,OH,43017-2552,US,US/Eastern,KOSU,2/8/2016 15:53,37,Overcast
A-32,Source2,2,Accident on Powell Rd at Bellefontaine Rd. Approach with care.,Bellefontaine Rd,Dayton,Montgomery,OH,45424-4132,US,US/Eastern,KFFO,2/8/2016 17:58,34.2,Light Rain
A-33,Source2,3,Left lane blocked due to accident on I-71 Southbound at Exit 115 Cooke Rd.,North Fwy S,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,2/8/2016 18:43,33.8,Overcast
A-34,Source2,3,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 39 OH-16 Broad St.,Outerbelt N,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/8/2016 19:51,34,Overcast
A-35,Source2,2,Accident on OH-315 Olentangy Fwy Eastbound at Cannon Dr.,Olentangy Fwy N,Columbus,Franklin,OH,43212,US,US/Eastern,KOSU,2/8/2016 20:27,33.1,Light Snow
A-36,Source2,2,Right lane blocked due to accident on OH-315 Olentangy Fwy Northbound between Cannon Dr and Lane Ave.,Olentangy Fwy S,Columbus,Franklin,OH,43210,US,US/Eastern,KOSU,2/8/2016 20:39,33.1,Overcast
A-37,Source2,2,Accident on OH-48 Main St at Fairground Ave. Expect delays.,S Main St,Dayton,Montgomery,OH,45409-2616,US,US/Eastern,KFFO,2/9/2016 4:28,23,Light Snow
A-38,Source2,2,Accident on US-33 Columbus Lancaster Rd Eastbound at County Hwy-18 Diley Rd. Expect delays.,Diley Rd,Canal Winchester,Fairfield,OH,43110,US,US/Eastern,KLCK,2/9/2016 4:55,23,Light Snow
A-39,Source2,2,Accident on Leo St at Kiser St. Expect delays.,Kiser St,Dayton,Montgomery,OH,45404-1672,US,US/Eastern,KFFO,2/9/2016 4:58,22.8,Light Snow
A-40,Source2,3,Accident on I-670 Northeast Fwy Eastbound near I-270 Outerbelt Exits 35A 35B. Expect delays.,Stelzer Rd,Columbus,Franklin,OH,43219-3504,US,US/Eastern,KCMH,2/9/2016 5:27,26.6,Light Snow
A-41,Source2,2,Accident on Monroe Rd near Shaker Run Rd. Expect delays.,Monroe Rd,Lebanon,Warren,OH,45036,US,US/Eastern,KMGY,2/9/2016 5:45,21,Light Snow
A-42,Source2,2,Accident on Stanley Ave at Kuntz Rd.,Air City Ave,Dayton,Montgomery,OH,45404-1255,US,US/Eastern,KFFO,2/9/2016 5:58,23,Light Snow
A-43,Source2,2,Accident on OH-72 State Route 72 Northbound at Point Isabel Rd.,S State Route 72,Sabina,Clinton,OH,45169,US,US/Eastern,KILN,2/9/2016 5:54,19.9,Light Snow
A-44,Source2,3,Accident on I-270 Outerbelt near Exit 39 OH-16 Broad St.,E Broad St,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/9/2016 5:51,25,Light Snow
A-45,Source2,3,Accident on I-75 Northbound at Exit 59 Wyse Rd. Expect delays.,Benchwood Rd,Dayton,Montgomery,OH,45414,US,US/Eastern,KDAY,2/9/2016 6:03,23,Light Snow
A-46,Source2,3,Accident on I-70 Eastbound at Exit 102 Kelton Ave. Expect delays.,East Fwy W,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,2/9/2016 5:51,25,Light Snow
A-47,Source2,2,Accident on Kenny Rd at Henderson Rd. Expect delays.,Kenny Rd,Columbus,Franklin,OH,43220,US,US/Eastern,KOSU,2/9/2016 6:22,26.1,Light Snow
A-48,Source2,3,Right hand shoulder blocked due to accident on I-70 Westbound at Exits 107 107A 107B OH-317 Hamilton Rd.,S Hamilton Rd,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,2/9/2016 6:36,24.8,Light Snow
A-49,Source2,2,Accident on Stanley Ave at OH-201 Brandt St. Expect delays.,Brandt St,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2/9/2016 6:51,23,Light Snow
A-50,Source2,3,Accident on I-75 Northbound at Exits 54A 54B OH-4. Expect delays.,I-75 S,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2/9/2016 6:51,23,Light Snow
A-51,Source2,2,Accident on OH-48 Main St at Burton Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405-4141,US,US/Eastern,KDAY,2/9/2016 6:56,21.9,Light Snow
A-52,Source2,2,Accident on Riverside Dr at Pointview Ave. Expect delays.,Riverside Dr,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/9/2016 6:56,21.9,Light Snow
A-53,Source2,3,Accident on I-75 Northbound at Exit 54B Grand Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/9/2016 6:56,21.9,Light Snow
A-54,Source2,3,Accident on I-70 Eastbound at Exits 93 93A 93B I-270 Outerbelt. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43204,US,US/Eastern,KTZR,2/9/2016 7:20,21.2,Light Snow
A-55,Source2,3,Accident on I-75 Southbound at Exit 44 OH-725 Miamisburg Centerville Rd. Expect delays.,Miamisburg Centerville Rd,Dayton,Montgomery,OH,45449,US,US/Eastern,KMGY,2/9/2016 7:12,21,Light Snow
A-56,Source2,2,Accident on OH-28 State Route 28 at Wood St. Expect delays.,Wood St,Goshen,Clermont,OH,45122,US,US/Eastern,KI69,2/9/2016 6:56,21,Light Snow
A-57,Source2,2,Accident on McCall St at Abbey Ave. Expect delays.,Dearborn Ave,Dayton,Montgomery,OH,45417-2002,US,US/Eastern,KDAY,2/9/2016 7:08,21.9,Light Snow
A-58,Source2,2,Accident on Brown St at Fairground Ave. Expect delays.,Brown St,Dayton,Montgomery,OH,45409-2602,US,US/Eastern,KFFO,2/9/2016 7:58,22.5,Light Snow
A-59,Source2,2,Accident on US-35 Eastbound at Steve Whalen Blvd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2/9/2016 7:58,22.5,Light Snow
A-60,Source2,2,Accident on US-35 Eastbound at Smithville Rd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2/9/2016 7:58,22.5,Light Snow
A-61,Source2,3,Accident on I-270 Outerbelt Southbound at Exit 26 I-71.,North Fwy S,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,2/9/2016 7:50,24.8,Light Snow
A-62,Source2,2,Accident on 5 Oaks Ave at Forest Ave. Expect delays.,5 Oaks Ave,Dayton,Montgomery,OH,45405-4432,US,US/Eastern,KDAY,2/9/2016 7:54,21.2,Light Snow
A-63,Source2,2,Accident on US-42 State Route 42 at Middletown Rd. Expect delays.,N State Route 42,Waynesville,Warren,OH,45068-9388,US,US/Eastern,KMGY,2/9/2016 8:14,21,Light Snow
A-64,Source2,2,Accident on County Hwy-119 Clearcreek Rd near Tamarack Trl. Expect delays.,Clearcreek Rd,Springboro,Warren,OH,45066-9716,US,US/Eastern,KMGY,2/9/2016 8:14,21,Light Snow
A-65,Source2,2,Accident on US-33 Columbus Lancaster Rd Westbound near County Hwy-20 Pickerington Rd. Expect delays.,Columbus Lancaster Rd NW,Carroll,Fairfield,OH,43112,US,US/Eastern,KLHQ,2/9/2016 7:50,21.9,Light Snow
A-66,Source2,3,Accident on I-75 Southbound at I-675. Expect delays.,I-75 N,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,2/9/2016 8:14,21,Light Snow
A-67,Source2,3,Right hand shoulder blocked due to accident on I-71 Southbound at Exit 36 County Hwy-7 Wilmington Rd.,Wilmington Rd,Oregonia,Warren,OH,45054,US,US/Eastern,KMGY,2/9/2016 8:14,21,Light Snow
A-68,Source2,3,Accident on I-480 Westbound at Exit 20A-B I-77. Expect delays.,Outerbelt South Fwy W,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,2/9/2016 8:28,32,Overcast
A-69,Source2,3,Accident on I-480 Eastbound at Exit 23 OH-14 Broadway Ave.,I-480 E,Maple Heights,Cuyahoga,OH,44137,US,US/Eastern,KBKL,2/9/2016 8:28,32,Overcast
A-70,Source2,3,One lane blocked due to accident on I-270 Outerbelt Westbound at Exit 55 I-71.,I-71 S,Grove City,Franklin,OH,43123,US,US/Eastern,KTZR,2/9/2016 9:50,21.2,Overcast
A-71,Source2,2,One lane blocked due to accident on Main St Southbound at Lake Cascade Pkwy.,S Main St,Findlay,Hancock,OH,45840-1319,US,US/Eastern,KFDY,2/9/2016 11:04,27,Light Snow
A-72,Source2,2,Accident on Short Leuders Rd at OH-133 State Route 133. Expect delays.,Short Leuders Rd,Goshen,Clermont,OH,45122,US,US/Eastern,KI69,2/10/2016 6:16,16.2,Light Snow
A-73,Source2,3,One lane blocked due to accident on OH-315 Olentangy Fwy Northbound at Goodale St.,Twin Rivers Dr,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,2/10/2016 6:19,15.8,Light Snow
A-74,Source2,2,Accident on Vista Dr at Hamilton Rd.,N Hamilton Rd,Columbus,Franklin,OH,43230,US,US/Eastern,KCMH,2/10/2016 6:19,15.8,Light Snow
A-75,Source2,2,Accident on OH-444 Central Ave at Kauffman Ave. Expect delays.,S Central Ave,Fairborn,Greene,OH,45324,US,US/Eastern,KFFO,2/10/2016 6:58,15.4,Light Snow
A-76,Source2,3,Accident on I-75 Northbound at Exit 82 US-36 Ash St. Expect delays.,E Ash St,Piqua,Miami,OH,45356,US,US/Eastern,KVES,2/10/2016 7:55,14,Light Snow
A-77,Source2,3,Accident on I-270 Outerbelt Eastbound at Exit 43A-B/41A-B US-40 Main St. Expect delays.,Outerbelt N,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,2/10/2016 7:51,15.1,Light Snow
A-78,Source2,2,Delays due to accident on Lindale Mount Holly Rd at Lindale Nicholsville Rd.,Lindale Nicholsville Rd,New Richmond,Clermont,OH,45157-9006,US,US/Eastern,KI69,2/10/2016 7:56,15.8,Light Snow
A-79,Source2,2,Accident on Indianola Ave at Oakland Ave. Expect delays.,Indianola Ave,Columbus,Franklin,OH,43202-3023,US,US/Eastern,KOSU,2/10/2016 7:53,16,Light Snow
A-80,Source2,2,Accident on Lake Allyn Rd at Amelia Olive Branch Rd.,Lake Allyn Rd,Batavia,Clermont,OH,45103-8992,US,US/Eastern,KI69,2/10/2016 8:16,15.8,Light Snow
A-81,Source2,2,Accident on US-40 Main St Eastbound at Cypress Aly.,E Main St,Reynoldsburg,Franklin,OH,43068-1207,US,US/Eastern,KCMH,2/10/2016 8:51,16,Light Snow
A-82,Source2,3,Accident on I-71 Northbound at Rest Stop North.,North Fwy N,Galena,Delaware,OH,43021,US,US/Eastern,KDLZ,2/10/2016 8:55,17.6,Haze
A-83,Source2,3,Accident on I-270 Outerbelt Southbound at I-70 Exits 93 93A 93B. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43204,US,US/Eastern,KTZR,2/10/2016 9:50,15.8,Light Snow
A-84,Source2,3,One lane blocked due to accident on I-670 Eastbound at Exit 7 US-62. Expect delays.,E 5th Ave,Columbus,Franklin,OH,43219,US,US/Eastern,KCMH,2/10/2016 10:51,17.1,Light Snow
A-85,Source2,3,Left lane blocked due to accident on I-76 Westbound at Exit 16 Barber Rd.,US-224 W,Barberton,Summit,OH,44203,US,US/Eastern,KAKR,2/10/2016 16:54,19.9,Light Snow
A-86,Source2,3,Left lane blocked due to accident on I-77 Northbound between Exit 130 OH-261 Vernon Odom Blvd and Exit 131 OH-162 Copley Rd.,Copley Rd,Akron,Summit,OH,44320-2561,US,US/Eastern,KAKR,2/10/2016 18:10,19.9,Light Snow
A-87,Source2,3,Accident on I-71 Northbound in Crimson. Approach with care.,I-71 N,Mansfield,Richland,OH,44903,US,US/Eastern,KMFD,2/10/2016 18:52,16,Overcast
A-88,Source2,3,Accident on I-480 Westbound at Exit 9 OH-17 Brookpark Rd. Expect delays.,Grayton Rd,Cleveland,Cuyahoga,OH,44135,US,US/Eastern,KCLE,2/11/2016 5:51,14,Light Snow
A-89,Source2,3,Accident on I-77 Southbound at Exit 130 OH-261 Vernon Odom Blvd. Expect delays.,Vernon Odom Blvd,Akron,Summit,OH,44320-4026,US,US/Eastern,KAKR,2/11/2016 5:30,14,Light Snow
A-90,Source2,2,Accident on US-35 Eastbound at I-75. Expect delays.,I-75 S,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/11/2016 5:56,7,Scattered Clouds
A-91,Source2,2,Accident on OH-125 State Route 125 at Bantam Rd. Expect delays.,S Bantam Rd,Bethel,Clermont,OH,45106-9354,US,US/Eastern,KI69,2/11/2016 6:16,15.4,Overcast
A-92,Source2,3,Accident on I-480 Eastbound at Exit 16 OH-94 State Rd. Expect delays.,I-480 E,Cleveland,Cuyahoga,OH,44109,US,US/Eastern,KBKL,2/11/2016 6:53,17.1,Overcast
A-93,Source2,2,Accident on North Broadway St at OH-315 Olentangy Fwy Exits 6 6A-B-C. Expect delays.,Olentangy River Rd,Columbus,Franklin,OH,43202,US,US/Eastern,KOSU,2/11/2016 6:53,6.1,Partly Cloudy
A-94,Source2,2,Accident on US-33 Columbus Lancaster Rd at OH-674 Gender Rd. Expect delays.,Gender Rd,Canal Winchester,Franklin,OH,43110,US,US/Eastern,KLCK,2/11/2016 7:15,5,Clear
A-95,Source2,3,Accident on I-77 Northbound at Exit 133 Ridgewood Rd. Expect delays.,I-77 S,Akron,Summit,OH,44321,US,US/Eastern,KAKR,2/11/2016 7:28,12,Light Snow
A-96,Source2,2,Accident on OH-16 Broad St at County Hwy-41 Mink St. Expect delays.,Mink St SW,Pataskala,Licking,OH,43062-9413,US,US/Eastern,KVTA,2/11/2016 7:54,7,Overcast
A-97,Source2,3,Accident on I-71 Northbound at Exit 234 US-42 Pearl Rd.,I-71 S,Cleveland,Cuyahoga,OH,44130,US,US/Eastern,KCLE,2/11/2016 7:51,15.1,Mostly Cloudy
A-98,Source2,2,Accident on Vance Rd at Main St. Expect delays.,Vance Rd,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,2/11/2016 7:53,9,Clear
A-99,Source2,2,Accident on Broadway St at Home Ave. Expect delays.,Home Ave,Dayton,Montgomery,OH,45402-8230,US,US/Eastern,KFFO,2/11/2016 7:58,7.5,Scattered Clouds
A-100,Source2,2,Accident on US-35 Westbound at Smithville Rd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2/11/2016 7:58,7.5,Scattered Clouds
A-101,Source2,2,Accident on OH-16 Broad St at Yearling Rd. Expect delays.,E Broad St,Columbus,Franklin,OH,43213-1359,US,US/Eastern,KCMH,2/11/2016 8:51,12,Overcast
A-102,Source3,2,One lane blocked due to accident on US-23 High St Southbound from Campus View Blvd to Exits 23A 23B I-270 Outerbelt.,N High St,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,2/11/2016 8:53,12,Overcast
A-103,Source2,3,Accident on I-480 Eastbound at Exit 23 OH-14 Broadway Ave.,I-480 E,Maple Heights,Cuyahoga,OH,44137,US,US/Eastern,KBKL,2/11/2016 8:53,18,Overcast
A-104,Source2,2,Accident on Lamme Rd at Owendale Dr.,Lamme Rd,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,2/11/2016 8:53,12,Clear
A-105,Source2,2,Accident on Grafton Ave at Grand Ave.,W Grand Ave,Dayton,Montgomery,OH,45405-4408,US,US/Eastern,KDAY,2/11/2016 8:56,10.9,Mostly Cloudy
A-106,Source2,2,Accident on US-35 Eastbound at Steve Whalen Blvd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2/11/2016 9:58,13.6,Overcast
A-107,Source2,3,One lane blocked due to accident on I-270 Outerbelt Westbound at Exits 52 52A 52B US-23 High St. Expect delays.,S High St,Columbus,Franklin,OH,43207,US,US/Eastern,KLCK,2/11/2016 9:35,10.4,Overcast
A-108,Source2,2,Accident on OH-4 Keowee St at Keowee St / OH-4 Valley St. Expect delays.,N Keowee St,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2/11/2016 9:58,13.6,Overcast
A-109,Source2,2,Accident on Burroughs Dr at Cornell Dr. Expect delays.,Burroughs Dr,Dayton,Montgomery,OH,45406,US,US/Eastern,KDAY,2/11/2016 10:56,18,Mostly Cloudy
A-110,Source2,2,Accident on Summit Glen Dr near Mall Woods Dr. Expect delays.,Mall Woods Dr,Dayton,Montgomery,OH,45449-3625,US,US/Eastern,KMGY,2/11/2016 10:53,18,Clear
A-111,Source2,2,Accident on 2nd St at OH-4 Perry St. Expect delays.,W 2nd St,Dayton,Montgomery,OH,45402-1411,US,US/Eastern,KFFO,2/11/2016 10:58,18.5,Mostly Cloudy
A-112,Source2,2,Accident on OH-48 Main St at Melford Ave.,N Main St,Dayton,Montgomery,OH,45405-1604,US,US/Eastern,KDAY,2/11/2016 11:56,19.9,Mostly Cloudy
A-113,Source2,2,Accident on Dixie Dr at Bartley Rd.,N Dixie Dr,Dayton,Montgomery,OH,45414-3309,US,US/Eastern,KDAY,2/11/2016 11:56,19.9,Mostly Cloudy
A-114,Source2,2,Accident on Brown St at Oakwood Ave.,Springhouse Rd,Dayton,Montgomery,OH,45409,US,US/Eastern,KFFO,2/11/2016 13:58,21.6,Mostly Cloudy
A-115,Source2,2,Accident on Smithville Rd at Speice Ave.,Speice Ave,Dayton,Montgomery,OH,45403-3130,US,US/Eastern,KFFO,2/11/2016 13:58,21.6,Mostly Cloudy
A-116,Source2,2,Accident on Auburn Ave at Salem Ave.,Auburn Ave,Dayton,Montgomery,OH,45406-5615,US,US/Eastern,KDAY,2/11/2016 15:56,21,Mostly Cloudy
A-117,Source2,2,Accident on Stewart St at Edwin C Moses Blvd.,W Stewart St,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/11/2016 16:56,21,Mostly Cloudy
A-118,Source2,3,Left lane blocked due to accident on I-75 Southbound at Exit 51 Edwin C Moses Blvd.,I-75 S,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/11/2016 16:56,21,Mostly Cloudy
A-119,Source2,2,Center lane blocked due to accident on US-35 Westbound at I-75.,I-75 N,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2/11/2016 17:58,21,Mostly Cloudy
A-120,Source2,3,Right lane blocked due to accident on I-71 Innerbelt Southbound at Exit 108B I-670.,E Innerbelt S,Columbus,Franklin,OH,43203,US,US/Eastern,KCMH,2/11/2016 18:51,19,Light Snow
A-121,Source3,3,Right lane blocked due to accident on I-71 Southbound at Exit 110B 11th Ave.,North Fwy S,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,2/11/2016 19:51,17.1,Mostly Cloudy
A-122,Source2,3,Left lane blocked due to accident on I-75 Northbound at Exits 52 52B US-35.,I-75 S,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/11/2016 20:56,17.1,Scattered Clouds
A-123,Source2,2,Accident on Washington St at Edwin C Moses Blvd.,S Edwin C Moses Blvd,Dayton,Montgomery,OH,45402-8430,US,US/Eastern,KFFO,2/12/2016 16:13,26.6,Light Snow
A-124,Source2,2,Accident on Stanley Ave at Helena St.,Stanley Ave,Dayton,Montgomery,OH,45404-1016,US,US/Eastern,KFFO,2/12/2016 16:58,25.5,Light Snow
A-125,Source2,3,Three lanes blocked due to accident on I-71 Southbound between Exit 121 Polaris Pkwy and Exits 119 119A 119B I-270 Outerbelt.,North Fwy S,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,2/12/2016 17:50,23,Light Snow
A-126,Source2,3,Left lane blocked due to accident on I-270 Outerbelt Eastbound between Exits 22 22A 22B OH-315 Olentangy Fwy and Exit 23 US-23 High St.,N High St,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,2/12/2016 19:53,19,Light Snow
A-127,Source2,3,Left lane blocked due to accident on I-270 Outerbelt Westbound between Exit 23 US-23 High St and Exits 22 22A 22B OH-315 Olentangy Fwy.,Outerbelt E,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,2/12/2016 19:53,19,Light Snow
A-128,Source2,3,Left lane blocked due to accident on I-270 Outerbelt Westbound between Exits 46 46A 46B US-33 and Exit 49 Alum Creek Dr.,Outerbelt E,Columbus,Franklin,OH,43207,US,US/Eastern,KLCK,2/12/2016 20:35,19.9,Scattered Clouds
A-129,Source2,3,Accident on I-70 Eastbound at Exits 108 108A-B I-270 Outerbelt.,I-70 E,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,2/12/2016 23:51,16,Mostly Cloudy
A-130,Source2,3,Accident on I-71 Northbound at Exit 113 Silver Dr.,E Weber Rd,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,02/13/2016 10:51:00,10,Partly Cloudy
A-131,Source2,3,Accident on I-71 Northbound in Westfield Center.,I-71 N,Seville,Medina,OH,44273,US,US/Eastern,KBJJ,02/13/2016 10:56:00,8.1,Scattered Clouds
A-132,Source2,2,Accident on OH-13 State Route 13 Northbound at Smith Rd.,State Route 13,Bellville,Richland,OH,44813-9053,US,US/Eastern,KMFD,02/13/2016 10:52:00,7,Clear
A-133,Source2,3,Accident on I-75 Southbound at Exit 73 OH-55 State Route 55. Approach with care.,I-75 S,Troy,Miami,OH,45373,US,US/Eastern,KDAY,02/13/2016 10:56:00,10.9,Scattered Clouds
